"ogc_fid","identifier","far_idx","cov_idx","align_idx","wall_idx","comp_idx","net_idx","age_idx","count11","k8cls","k8cls_sm3","k8cls_sm6","k8cls_sm9","wkb_geometry"
6634,"8a390ca24827fff",0.899854217583463,0.217848915042417,0.0004175690148948,0.0292877394426234,0.748739376385109,0.0183803709972834,70.0,7.0,2,2,2,2,"MULTIPOLYGON (((443266.58102205663 4478551.966462481, 443255.9843236218 4478474.009152772, 443185.98454115243 4478446.011320014, 443126.5824498582 4478495.971258198, 443137.18047357275 4478573.9284010865, 443207.1792632976 4478601.92577261, 443266.58102205663 4478551.966462481)))"
6635,"8a390ca24887fff",0.80531592222536,0.391184711716992,0.010169962172407,0.121684392894724,0.600080960627017,0.0186139012719871,80.0,7.0,2,2,2,2,"MULTIPOLYGON (((443203.0834686637 4478084.333293577, 443192.4864131537 4478006.487116817, 443122.4820573803 4477978.48985019, 443063.07659171504 4478028.45022167, 443073.67581434664 4478106.407231743, 443143.6783346236 4478134.2930370085, 443203.0834686637 4478084.333293577)))"
6636,"8a390ca24ad7fff",1.00647161169532,0.170744336883518,0.0164571602785437,0.0258867139247605,1.35947104516456,0.0089032065174999,57.0,6.0,4,4,4,4,"MULTIPOLYGON (((444367.87221487024 4477886.101245475, 444357.28706806153 4477808.253566961, 444287.28542812634 4477780.2454464175, 444227.8707523695 4477830.196465584, 444238.45804886817 4477908.154977255, 444308.4578705355 4477936.05163659, 444367.87221487024 4477886.101245475)))"
6637,"8a390ca24c0ffff",2.78361843213199,0.654928493643881,0.0310948978095686,0.203651088499554,1.11280121921704,0.0178433078769327,58.0,7.0,5,6,6,6,"MULTIPOLYGON (((442880.6634451012 4477660.853687633, 442870.06169776357 4477582.896977266, 442800.0530116525 4477555.013689318, 442740.6462185195 4477604.976572939, 442751.2492908041 4477682.9331165375, 442821.2569836226 4477710.815943222, 442880.6634451012 4477660.853687633)))"
6638,"8a390ca24cc7fff",2.28985791065807,0.525855019961095,0.0258344553978229,0.145905530631697,1.21379065285004,0.0242198118417296,68.0,7.0,6,6,6,6,"MULTIPOLYGON (((442978.36210491403 4477405.016293123, 442967.761083639 4477327.059482323, 442897.7504113233 4477299.175271072, 442838.3409074027 4477349.137331865, 442848.9432535566 4477427.093975895, 442918.9529326174 4477454.97772589, 442978.36210491403 4477405.016293123)))"
6639,"8a390ca24cd7fff",1.46921215450709,0.333379923374844,0.0131402589670178,0.0852162002036895,1.20909272345841,0.0252749428690563,58.0,6.0,2,6,6,6,"MULTIPOLYGON (((442897.7504113233 4477299.175271072, 442887.1484277618 4477221.218576886, 442817.13646272337 4477193.335110247, 442757.7266271716 4477243.297799057, 442768.3290873999 4477321.143326477, 442838.3409074027 4477349.137331865, 442897.7504113233 4477299.175271072)))"
6640,"8a390ca24cdffff",2.18015574128492,0.460007567541824,0.0154363985008327,0.146313862709069,1.23379385829508,0.0233068831349994,45.0,7.0,6,6,6,6,"MULTIPOLYGON (((443027.1716110065 4477277.098460621, 443016.5717967685 4477199.252599635, 442946.5592867378 4477171.256927162, 442887.1484277618 4477221.218576886, 442897.7504113233 4477299.175271072, 442967.761083639 4477327.059482323, 443027.1716110065 4477277.098460621)))"
6641,"8a390ca24ce7fff",2.39481493348111,0.620446830214019,0.0300546263001546,0.174374886429051,1.10788432277662,0.0240357814463061,50.0,7.0,6,6,6,6,"MULTIPOLYGON (((442929.46951439156 4477532.935132749, 442918.9529326174 4477454.97772589, 442848.9432535566 4477427.093975895, 442789.4503020015 4477477.057095558, 442800.0530116525 4477555.013689318, 442870.06169776357 4477582.896977266, 442929.46951439156 4477532.935132749)))"
6642,"8a390ca24d97fff",0.906174863810927,0.33156217582484,0.0030908301858737,0.0716473210464019,0.792130673282044,0.0263336247462315,87.0,7.0,2,2,2,2,"MULTIPOLYGON (((442331.1885758818 4477515.205809684, 442320.58092893055 4477437.249832791, 442250.56790074916 4477409.260651637, 442191.16351196193 4477459.227908645, 442201.68768187205 4477537.184373259, 442271.69971793174 4477565.173092354, 442331.1885758818 4477515.205809684)))"
6643,"8a390ca24db7fff",0.465636221858258,0.129193641856484,0.0006585638907944,0.0105484247915049,0.768015964960059,0.0248164075774357,52.0,6.0,4,2,2,2,"MULTIPOLYGON (((442282.30772851635 4477643.129018979, 442271.69971793174 4477565.173092354, 442201.68768187205 4477537.184373259, 442142.2846488585 4477587.152042062, 442152.893984555 4477665.107801946, 442222.9050281489 4477693.096059769, 442282.30772851635 4477643.129018979)))"
